Field=#~Integer~#~50|Field=Comment~String~Comment~175|Field=Description~String~Description~175|Field=Designator~String~Designator~175|Field=Footprint~String~Footprint~175|Field=LibRef~String~LibRef~175|Field=Quantity~Integer~Quantity~175|Field=Supplier 1~String~Supplier 1~175|Field=Supplier Part Number 1~String~Supplier Part Number 1~175|Field=Value~String~Value~175|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~knixx_HAT_00.PrjPcb|ReportField=ProjectFullPath~C:\Users\Wim\Dropbox\Electronics\knixx_HAT_00\knixx_HAT_00.PrjPcb|ReportField=Title~Bill of Materials For Variant [Not Mounted] of Project [knixx_HAT_00.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~45|ReportField=ReportTime~16:02:06|ReportField=ReportDate~12/05/2017|ReportField=ReportDateTime~12/05/2017 16:02:06|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Not Mounted|ReportField=PCB_ENGINEER~WimVG|ReportField=PCB_REV~00|ReportField=PCB_TITLE~knixx_HAT|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~12/05/2017|ReportField=CurrentTime~15:57:15|ReportField=Date~1-8-2016|ReportField=DocumentFullPathAndName~C:\Users\Wim\Dropbox\Electronics\knixx_HAT_00\knixx_HAT_00.SchDoc|ReportField=DocumentName~knixx_HAT_00.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Wim Van Gool|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~30/03/2017|ReportField=Organization~|ReportField=ProjectName~knixx_HAT_00.PrjPcb|ReportField=Revision~00|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~knixx RPi HAT|ReportField=DataSourceFileName~knixx_HAT_00.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Wim\Dropbox\Electronics\knixx_HAT_00\knixx_HAT_00.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|BR-1220/HFN 35mAh|=Description|BAT1|BR-1220_HFN|BAT BR-1220/HFN|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPANASONIC%2520ELECTRONIC%2520COMPONENTS%26mpn%3DBR-1220%252FHFN%26seller%3DFarnell%26sku%3D1892653%26country%3DBE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1892653{URL.TIP}Supplier|1220
2|CAP_CERAMIC|Capacitor Ceramic|C1, C15, C17, C19|C0603_N|CAP # 100nF 16V 0603|4||{URL}{URL.TEXT}{URL.TIP}Supplier|100nF 16V
3|CAP_CERAMIC|Capacitor Ceramic|C2, C3, C18|C0603_N|CAP # 10nF 16V 0603|3||{URL}{URL.TEXT}{URL.TIP}Supplier|10nF 16V
4|CAP_CERAMIC|Capacitor Ceramic|C4|C0805_N|CAP # 220nF 50V 0805|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWALSIN%26mpn%3D0805B224K500CT%26seller%3DFarnell%26sku%3D2496964%26country%3DBE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2496964{URL.TIP}Supplier|220nF 50V
5|CAP_CERAMIC|Capacitor Ceramic|C5|C0603_N|CAP # 100nF 50V 0603|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMULTICOMP%26mpn%3DMC0603B104K500CT%26seller%3DFarnell%26sku%3D1759122%26country%3DBE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1759122{URL.TIP}Supplier|100nF 50V
6|CAP_CERAMIC|Capacitor Ceramic|C6|C0603_N|CAP # 47nF 50V 0603|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWALSIN%26mpn%3D0603B473K500CT%26seller%3DFarnell%26sku%3D2496867%26country%3DBE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2496867{URL.TIP}Supplier|47nF 50V
7|CAP_CERAMIC|Capacitor Ceramic|C7|C0805_N|CAP # 10uF 10V 0805|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMULTICOMP%26mpn%3DMC0805X106K100CT%26seller%3DFarnell%26sku%3D2320859%26country%3DBE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2320859{URL.TIP}Supplier|10uF 10V
8|CAP_CERAMIC|Capacitor Ceramic|C8, C9|C0603_N|CAP # 12pF 50V 0402|2|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMULTICOMP%26mpn%3DMC0402N120J500CT%26seller%3DFarnell%26sku%3D2310489%26country%3DBE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2310489{URL.TIP}Supplier|12pF
9|CAP_POL|Capacitor electrolyt|C16|C_8x11.5_3.5mm|CAP 100uF 50V 8x11mm|1|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPANASONIC%2520ELECTRONIC%2520COMPONENTS%26mpn%3DECA1HM101%26seller%3DFarnell%26sku%3D9693793%26country%3DBE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}9693793{URL.TIP}Supplier|100uF 50V
10|CONNECTOR FOR EIB APPLICATIONS PUSH-WIRE® CONNECTION||CON2|WAGO_243-211|Wago 243-211 Connector EIB|1||{URL}{URL.TEXT}{URL.TIP}Supplier|243-211
